EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
555382,WEST SLOPE NORTHERN SIERRA NEVADA (ZONE), ,01/01/2015,0,Drought, , ,0,0,0,0,CA,PST-8, ,91462,Z,69,STO,0,0,Drought Monitor, , , , , , , , , , , , ,"A significant drought continues to impact to the region for January, including a large reduction in snow related tourism in the Northern Sierra Nevada. Multiple downhill and cross country ski resorts were forced to close due to a lack of snow. Resorts which remained open were forced to produce artificial snow, and scale back the number of runs open. Other winter activities such as snowmobiling and snow shoeing were also greatly affected by the lack of snow pack. Restaurants and hotels in the area which rely on winter tourism suffered a significant drop in business.||Many farmers are already planning to scale back crop planting acreage due to decreased irrigation water allocations again in 2015.","After a wet December for most of the area, January returned to an extremely dry pattern with the California drought continuing in full force. This was the driest January on record for the state, with many locations receiving little or no precipitation for what is on average the wettest month of the year. Snow pack in the mountains was extremely low, about 25% of normal. |Extreme drought was detected by the U.S. Drought Monitor across the region, with exceptional drought for the northern San Joaquin Valley, the central and southern Sacramento Valley, the Burney Basin and the Sierra south of Interstate 80.  |Governor Jerry Brown declared a drought emergency for the entire state of California January 17, 2014 and this continued to be in effect. |Impacts to the region for January included strong conservation efforts within most communities, a significant decrease in the snow-related tourism activity in the Northern Sierra Nevada, reduction in air quality due to persistent stagnant air, and a reduction of ground water resources which are replacing diminished reservoir water.",1
553242,SE KERN CTY DESERT (ZONE), ,01/01/2015,0,Drought, , ,0,0,0,0,CA,PST-8, ,92365,Z,99,HNX,0,0,Emergency Manager, , , , , , , , , , , , ,"","The California drought continued in full force during the month of January, 2015. Precipitation fell on only a few days of the month, and mostly across Kern County. Snowfall in the Sierra Nevada was limited to the highest elevations due to the warm nature of the storms that did move through. Temperatures remained well above normal throughout central California.  ||The U.S. Drought Monitor continued to report exceptional drought conditions across the entire Central California region. This extent of exceptional drought is extremely unusual for California. The 2013-2014 water year (July 1 - June 30) concluded with Fresno setting its second driest on record (4.81 inches) and Bakersfield setting its third driest (2.41 inches). For the calendar year, 2014 was the warmest year on record for Fresno and Bakersfield. The trend of below normal precipitation and above normal temperatures continued into 2015. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, wells drying up in several communities leaving them with no water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains.",2
553241,INDIAN WELLS VLY (ZONE), ,01/01/2015,0,Drought, , ,0,0,0,0,CA,PST-8, ,92365,Z,98,HNX,0,0,Emergency Manager, , , , , , , , , , , , ,"","The California drought continued in full force during the month of January, 2015. Precipitation fell on only a few days of the month, and mostly across Kern County. Snowfall in the Sierra Nevada was limited to the highest elevations due to the warm nature of the storms that did move through. Temperatures remained well above normal throughout central California.  ||The U.S. Drought Monitor continued to report exceptional drought conditions across the entire Central California region. This extent of exceptional drought is extremely unusual for California. The 2013-2014 water year (July 1 - June 30) concluded with Fresno setting its second driest on record (4.81 inches) and Bakersfield setting its third driest (2.41 inches). For the calendar year, 2014 was the warmest year on record for Fresno and Bakersfield. The trend of below normal precipitation and above normal temperatures continued into 2015. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, wells drying up in several communities leaving them with no water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains.",3
553240,TULARE CTY MTNS (ZONE), ,01/01/2015,0,Drought, , ,0,0,0,0,CA,PST-8, ,92365,Z,97,HNX,0,0,Emergency Manager, , , , , , , , , , , , ,"","The California drought continued in full force during the month of January, 2015. Precipitation fell on only a few days of the month, and mostly across Kern County. Snowfall in the Sierra Nevada was limited to the highest elevations due to the warm nature of the storms that did move through. Temperatures remained well above normal throughout central California.  ||The U.S. Drought Monitor continued to report exceptional drought conditions across the entire Central California region. This extent of exceptional drought is extremely unusual for California. The 2013-2014 water year (July 1 - June 30) concluded with Fresno setting its second driest on record (4.81 inches) and Bakersfield setting its third driest (2.41 inches). For the calendar year, 2014 was the warmest year on record for Fresno and Bakersfield. The trend of below normal precipitation and above normal temperatures continued into 2015. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, wells drying up in several communities leaving them with no water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains.",4
553239,S SIERRA MTNS (ZONE), ,01/01/2015,0,Drought, , ,0,0,0,0,CA,PST-8, ,92365,Z,96,HNX,0,0,Emergency Manager, , , , , , , , , , , , ,"","The California drought continued in full force during the month of January, 2015. Precipitation fell on only a few days of the month, and mostly across Kern County. Snowfall in the Sierra Nevada was limited to the highest elevations due to the warm nature of the storms that did move through. Temperatures remained well above normal throughout central California.  ||The U.S. Drought Monitor continued to report exceptional drought conditions across the entire Central California region. This extent of exceptional drought is extremely unusual for California. The 2013-2014 water year (July 1 - June 30) concluded with Fresno setting its second driest on record (4.81 inches) and Bakersfield setting its third driest (2.41 inches). For the calendar year, 2014 was the warmest year on record for Fresno and Bakersfield. The trend of below normal precipitation and above normal temperatures continued into 2015. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, wells drying up in several communities leaving them with no water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains.",5
553238,KERN CTY MTNS (ZONE), ,01/01/2015,0,Drought, , ,0,0,0,0,CA,PST-8, ,92365,Z,95,HNX,0,0,Emergency Manager, , , , , , , , , , , , ,"","The California drought continued in full force during the month of January, 2015. Precipitation fell on only a few days of the month, and mostly across Kern County. Snowfall in the Sierra Nevada was limited to the highest elevations due to the warm nature of the storms that did move through. Temperatures remained well above normal throughout central California.  ||The U.S. Drought Monitor continued to report exceptional drought conditions across the entire Central California region. This extent of exceptional drought is extremely unusual for California. The 2013-2014 water year (July 1 - June 30) concluded with Fresno setting its second driest on record (4.81 inches) and Bakersfield setting its third driest (2.41 inches). For the calendar year, 2014 was the warmest year on record for Fresno and Bakersfield. The trend of below normal precipitation and above normal temperatures continued into 2015. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, wells drying up in several communities leaving them with no water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains.",6
553237,TULARE CTY FOOTHILLS (ZONE), ,01/01/2015,0,Drought, , ,0,0,0,0,CA,PST-8, ,92365,Z,94,HNX,0,0,Emergency Manager, , , , , , , , , , , , ,"","The California drought continued in full force during the month of January, 2015. Precipitation fell on only a few days of the month, and mostly across Kern County. Snowfall in the Sierra Nevada was limited to the highest elevations due to the warm nature of the storms that did move through. Temperatures remained well above normal throughout central California.  ||The U.S. Drought Monitor continued to report exceptional drought conditions across the entire Central California region. This extent of exceptional drought is extremely unusual for California. The 2013-2014 water year (July 1 - June 30) concluded with Fresno setting its second driest on record (4.81 inches) and Bakersfield setting its third driest (2.41 inches). For the calendar year, 2014 was the warmest year on record for Fresno and Bakersfield. The trend of below normal precipitation and above normal temperatures continued into 2015. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, wells drying up in several communities leaving them with no water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains.",7
553236,S SIERRA FOOTHILLS (ZONE), ,01/01/2015,0,Drought, , ,0,0,0,0,CA,PST-8, ,92365,Z,93,HNX,0,0,Emergency Manager, , , , , , , , , , , , ,"","The California drought continued in full force during the month of January, 2015. Precipitation fell on only a few days of the month, and mostly across Kern County. Snowfall in the Sierra Nevada was limited to the highest elevations due to the warm nature of the storms that did move through. Temperatures remained well above normal throughout central California.  ||The U.S. Drought Monitor continued to report exceptional drought conditions across the entire Central California region. This extent of exceptional drought is extremely unusual for California. The 2013-2014 water year (July 1 - June 30) concluded with Fresno setting its second driest on record (4.81 inches) and Bakersfield setting its third driest (2.41 inches). For the calendar year, 2014 was the warmest year on record for Fresno and Bakersfield. The trend of below normal precipitation and above normal temperatures continued into 2015. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, wells drying up in several communities leaving them with no water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains.",8
553235,SE S.J. VALLEY (ZONE), ,01/01/2015,0,Drought, , ,0,0,0,0,CA,PST-8, ,92365,Z,92,HNX,0,0,Emergency Manager, , , , , , , , , , , , ,"","The California drought continued in full force during the month of January, 2015. Precipitation fell on only a few days of the month, and mostly across Kern County. Snowfall in the Sierra Nevada was limited to the highest elevations due to the warm nature of the storms that did move through. Temperatures remained well above normal throughout central California.  ||The U.S. Drought Monitor continued to report exceptional drought conditions across the entire Central California region. This extent of exceptional drought is extremely unusual for California. The 2013-2014 water year (July 1 - June 30) concluded with Fresno setting its second driest on record (4.81 inches) and Bakersfield setting its third driest (2.41 inches). For the calendar year, 2014 was the warmest year on record for Fresno and Bakersfield. The trend of below normal precipitation and above normal temperatures continued into 2015. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, wells drying up in several communities leaving them with no water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains.",9
553234,SW S.J. VALLEY (ZONE), ,01/01/2015,0,Drought, , ,0,0,0,0,CA,PST-8, ,92365,Z,91,HNX,0,0,Emergency Manager, , , , , , , , , , , , ,"","The California drought continued in full force during the month of January, 2015. Precipitation fell on only a few days of the month, and mostly across Kern County. Snowfall in the Sierra Nevada was limited to the highest elevations due to the warm nature of the storms that did move through. Temperatures remained well above normal throughout central California.  ||The U.S. Drought Monitor continued to report exceptional drought conditions across the entire Central California region. This extent of exceptional drought is extremely unusual for California. The 2013-2014 water year (July 1 - June 30) concluded with Fresno setting its second driest on record (4.81 inches) and Bakersfield setting its third driest (2.41 inches). For the calendar year, 2014 was the warmest year on record for Fresno and Bakersfield. The trend of below normal precipitation and above normal temperatures continued into 2015. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, wells drying up in several communities leaving them with no water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains.",10
